id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345684,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345684,PLP,140,2,2023,Altera a Lei de Responsabilidade Fiscal para proibir o bloqueio de dotações orçamentárias nas condições que especifica.,2023-02-02T09:04
2345685,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345685,PL,139,35,2023,"Acrescenta parágrafo único ao art. 842 da Lei nº 10.406, de 10 de janeiro de 2002, que institui o Código Civil, para permitir novo ajuste consensual sobre o destino dos bens do acordo celebrado por partes maiores e capazes, versando sobre a partilha de bens imóveis privados e disponíveis, homologado judicialmente por ocasião de divórcio consensual.",2023-02-02T09:08
2345686,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345686,PLP,140,3,2023,"Altera a Lei Complementar nº 194, de 23 de junho de 2022, que altera a Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e a Lei Complementar nº 87, de 13 de setembro de 1996 (Lei Kandir), para considerar bens e serviços essenciais os relativos aos combustíveis, à energia elétrica, às comunicações e ao transporte coletivo, e as Leis Complementares nºs 192, de 11 de março de 2022, e 159, de 19 de maio de 2017.",2023-02-02T09:05
2345688,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345688,PLP,140,4,2023,"Altera a Lei Complementar nº 192, de 11 de março de 2022, que define os combustíveis sobre os quais incidirá uma única vez o Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS), ainda que as operações se iniciem no exterior; e dá outras providências.",2023-02-02T09:05
2345689,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345689,PLP,140,5,2023,"Altera a Lei Complementar nº 101, de 2002, de modo a não incluir transferências voluntárias federais, doações e transferências internacionais como fonte de recursos para abertura de espaço fiscal para alocação em despesas de pessoal.",2023-02-02T09:05
2345690,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345690,PL,139,36,2023,"Altera o inciso XIV do art. 6º, da Lei nº 7.713, de 22 de dezembro de 1998, para determinar a concessão de isenção tributária ao contribuinte, portador de doença prevista no inciso, não se lhe exigindo a demonstração da contemporaneidade dos sintomas da doença nem da recidiva da enfermidade.",2023-02-02T09:08
2345691,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345691,PLP,140,6,2023,"Inclui inciso III ao art. 36 da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), para inserir a não incidência de imposto sobre a transmissão de bens imóveis quando a causa da transmissão for a partilha de bens no divórcio.",2023-02-02T09:08
2345692,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345692,PLP,140,7,2023,"Altera o art. 3º-B da Lei Complementar nº 79, de 7 de janeiro de 1994, com o intuito de prever a destinação de recursos para o auxílio e a capacitação de organizações civis no cumprimento dos requisitos para se enquadrarem como Associações de Proteção e Assistência aos Condenados (APAC’s).",2023-02-02T09:10
2345693,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345693,PL,139,37,2023,"Acrescente-se o §4º ao art. 48, da Lei nº 9.394, de 20 de dezembro de 1996, para determinar a validação automática dos diplomas dos graus acadêmicos de mestrado e doutorado e dos cursos de especialização de carga horária não inferior a 360 (trezentos e sessenta) horas, expedidos por universidades públicas ou privadas de países membros e associados do MERCOSUL.",2023-02-02T09:08
2345694,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345694,PLP,140,8,2023,"Altera a Lei Complementar nº 101, de 2000, a fim de estabelecer regras fiscais a serem aplicadas em período eleitoral.",2023-02-02T09:10
2345695,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345695,PL,139,38,2023,"Altera o art. 38 da Lei nº 9.099, de 26 de setembro de 1995, para determinar que a sentença seja amplamente fundamentada.",2023-02-02T09:08
